,aff_dist_func,aff_k,aff_mask_func,aff_sigma,algorithm,alpha,can_plot,corruption_level,dataset,elapsed_time,labeled_percent,mu,tuning_iter,experiments,mean_acc,sd_acc
251,gaussian,15.0,knn,0.2,LGC,0.99,False,0.2,spiral_hard,5.555638074874878,0.01,,,20,0.6914,0.05244336627893624
252,gaussian,15.0,knn,0.2,LDST,,False,0.35,spiral,24.911983966827393,0.01,99.0,1.0,20,0.6208,0.3724981491378328
253,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.15,spiral,10.484503984451292,0.01,,,20,0.8382333333333334,0.0715042422983886
254,gaussian,15.0,knn,0.2,GTAM,,False,0.0,spiral,44.7825665473938,0.1,99.0,0.0,20,1.0,0.0
255,gaussian,15.0,knn,0.2,LDST,,False,0.3,spiral,34.76360511779785,0.5,99.0,0.25,20,0.8940000000000001,0.021955510571253955
256,gaussian,15.0,knn,0.2,GTAM,,False,0.35,spiral_hard,20.279327392578125,0.05,99.0,0.0,20,0.8776666666666667,0.18603780977711676
257,gaussian,15.0,knn,0.2,LGC,0.2,False,0.35,spiral_hard,7.903836011886598,0.05,,,20,0.6426,0.02987299040195935
258,gaussian,15.0,knn,0.2,LDST,,False,0.2,spiral_hard,50.3449764251709,0.1,99.0,0.75,20,0.9335333333333333,0.13815065850166786
259,gaussian,15.0,knn,0.2,LDST,,False,0.35,spiral,44.28112578392029,0.1,99.0,0.5,20,0.8926666666666667,0.24717542128797695
260,gaussian,15.0,knn,0.2,LDST,,False,0.4,spiral,15.646060228347778,0.5,99.0,0.25,20,0.7914333333333332,0.028429464371395496
261,gaussian,15.0,knn,0.2,LGC,0.2,False,0.25,spiral_hard,1.4025535583496094,0.5,,,20,0.8402333333333333,0.005704871212880755
262,gaussian,15.0,knn,0.2,LGC,0.99,False,0.4,spiral_hard,4.3506994247436515,0.05,,,20,0.6193333333333334,0.06782493805542489
263,gaussian,15.0,knn,0.2,GTAM,,False,0.2,spiral,47.86085748672485,0.01,99.0,0.0,20,0.7996666666666665,0.3504958075514044
264,gaussian,15.0,knn,0.2,LGC,0.99,False,0.3,spiral_hard,4.531948804855347,0.05,,,20,0.7801333333333333,0.06362061161465066
265,gaussian,15.0,knn,0.2,LDST,,False,0.1,spiral,47.62659215927124,0.01,99.0,0.1,20,0.8941333333333332,0.24900830865209647
266,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.35,spiral_hard,8.992779016494753,0.05,,,20,0.6385666666666667,0.028770567522305765
267,gaussian,15.0,knn,0.2,LGC,0.9,False,0.0,spiral_hard,2.108313798904419,0.01,,,20,0.7847666666666666,0.060496565559083136
268,gaussian,15.0,knn,0.2,LGC,0.9,False,0.25,spiral_hard,2.024232625961304,0.5,,,20,0.9686,0.005868560300448477
269,gaussian,15.0,knn,0.2,LDST,,False,0.25,spiral,42.48573756217957,0.1,99.0,0.1,20,0.9821666666666667,0.001280190957978063
270,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.2,spiral,9.869852304458616,0.05,,,20,0.8013000000000001,0.021621465671359533
